time_s,cpu0_%usr,cpu0_%nice,cpu0_%sys,cpu0_%iowait,cpu0_%irq,cpu0_%soft,cpu0_%steal,cpu0_%guest,cpu0_%gnice,cpu0_%idle,cpu1_%usr,cpu1_%nice,cpu1_%sys,cpu1_%iowait,cpu1_%irq,cpu1_%soft,cpu1_%steal,cpu1_%guest,cpu1_%gnice,cpu1_%idle,cpu2_%usr,cpu2_%nice,cpu2_%sys,cpu2_%iowait,cpu2_%irq,cpu2_%soft,cpu2_%steal,cpu2_%guest,cpu2_%gnice,cpu2_%idle,cpu3_%usr,cpu3_%nice,cpu3_%sys,cpu3_%iowait,cpu3_%irq,cpu3_%soft,cpu3_%steal,cpu3_%guest,cpu3_%gnice,cpu3_%idle,cpu4_%usr,cpu4_%nice,cpu4_%sys,cpu4_%iowait,cpu4_%irq,cpu4_%soft,cpu4_%steal,cpu4_%guest,cpu4_%gnice,cpu4_%idle,cpu5_%usr,cpu5_%nice,cpu5_%sys,cpu5_%iowait,cpu5_%irq,cpu5_%soft,cpu5_%steal,cpu5_%guest,cpu5_%gnice,cpu5_%idle,cpu6_%usr,cpu6_%nice,cpu6_%sys,cpu6_%iowait,cpu6_%irq,cpu6_%soft,cpu6_%steal,cpu6_%guest,cpu6_%gnice,cpu6_%idle,cpu7_%usr,cpu7_%nice,cpu7_%sys,cpu7_%iowait,cpu7_%irq,cpu7_%soft,cpu7_%steal,cpu7_%guest,cpu7_%gnice,cpu7_%idle,cpu8_%usr,cpu8_%nice,cpu8_%sys,cpu8_%iowait,cpu8_%irq,cpu8_%soft,cpu8_%steal,cpu8_%guest,cpu8_%gnice,cpu8_%idle,cpu9_%usr,cpu9_%nice,cpu9_%sys,cpu9_%iowait,cpu9_%irq,cpu9_%soft,cpu9_%steal,cpu9_%guest,cpu9_%gnice,cpu9_%idle,cpu10_%usr,cpu10_%nice,cpu10_%sys,cpu10_%iowait,cpu10_%irq,cpu10_%soft,cpu10_%steal,cpu10_%guest,cpu10_%gnice,cpu10_%idle,cpu11_%usr,cpu11_%nice,cpu11_%sys,cpu11_%iowait,cpu11_%irq,cpu11_%soft,cpu11_%steal,cpu11_%guest,cpu11_%gnice,cpu11_%idle,cpu12_%usr,cpu12_%nice,cpu12_%sys,cpu12_%iowait,cpu12_%irq,cpu12_%soft,cpu12_%steal,cpu12_%guest,cpu12_%gnice,cpu12_%idle,cpu13_%usr,cpu13_%nice,cpu13_%sys,cpu13_%iowait,cpu13_%irq,cpu13_%soft,cpu13_%steal,cpu13_%guest,cpu13_%gnice,cpu13_%idle,cpu14_%usr,cpu14_%nice,cpu14_%sys,cpu14_%iowait,cpu14_%irq,cpu14_%soft,cpu14_%steal,cpu14_%guest,cpu14_%gnice,cpu14_%idle,cpu15_%usr,cpu15_%nice,cpu15_%sys,cpu15_%iowait,cpu15_%irq,cpu15_%soft,cpu15_%steal,cpu15_%guest,cpu15_%gnice,cpu15_%idle,cpu16_%usr,cpu16_%nice,cpu16_%sys,cpu16_%iowait,cpu16_%irq,cpu16_%soft,cpu16_%steal,cpu16_%guest,cpu16_%gnice,cpu16_%idle,cpu17_%usr,cpu17_%nice,cpu17_%sys,cpu17_%iowait,cpu17_%irq,cpu17_%soft,cpu17_%steal,cpu17_%guest,cpu17_%gnice,cpu17_%idle,cpu18_%usr,cpu18_%nice,cpu18_%sys,cpu18_%iowait,cpu18_%irq,cpu18_%soft,cpu18_%steal,cpu18_%guest,cpu18_%gnice,cpu18_%idle,cpu19_%usr,cpu19_%nice,cpu19_%sys,cpu19_%iowait,cpu19_%irq,cpu19_%soft,cpu19_%steal,cpu19_%guest,cpu19_%gnice,cpu19_%idle,cpu20_%usr,cpu20_%nice,cpu20_%sys,cpu20_%iowait,cpu20_%irq,cpu20_%soft,cpu20_%steal,cpu20_%guest,cpu20_%gnice,cpu20_%idle,cpu21_%usr,cpu21_%nice,cpu21_%sys,cpu21_%iowait,cpu21_%irq,cpu21_%soft,cpu21_%steal,cpu21_%guest,cpu21_%gnice,cpu21_%idle,cpu22_%usr,cpu22_%nice,cpu22_%sys,cpu22_%iowait,cpu22_%irq,cpu22_%soft,cpu22_%steal,cpu22_%guest,cpu22_%gnice,cpu22_%idle,cpu23_%usr,cpu23_%nice,cpu23_%sys,cpu23_%iowait,cpu23_%irq,cpu23_%soft,cpu23_%steal,cpu23_%guest,cpu23_%gnice,cpu23_%idle
0,1.18,0.0,1.18,0.0,0.0,30.59,0.0,0.0,0.0,67.06,1.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,97.98,1.19,0.0,1.19,0.0,0.0,21.43,0.0,0.0,0.0,76.19,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,98.02,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,97.98,6.06,0.0,2.02,1.01,0.0,0.0,0.0,0.0,0.0,90.91,19.8,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,78.22,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,3.75,0.0,1.25,1.25,0.0,17.5,0.0,0.0,0.0,76.25,4.49,0.0,1.12,0.0,0.0,23.6,0.0,0.0,0.0,70.79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,30.59,0.0,0.0,0.0,69.41,0.0,0.0,0.0,0.0,0.0,65.35,0.0,0.0,0.0,34.65,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.27,0.0,0.0,0.0,0.0,39.24,0.0,0.0,0.0,59.49,1.2,0.0,1.2,0.0,0.0,40.96,0.0,0.0,0.0,56.63,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.41,0.0,0.0,40.96,0.0,0.0,0.0,56.63,1.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,97.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
1,0.0,0.0,1.27,0.0,0.0,21.52,0.0,0.0,0.0,77.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,84.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,98.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,98.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.01,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,96.97,0.0,0.0,0.0,0.0,0.0,11.69,0.0,0.0,0.0,88.31,0.0,0.0,2.38,0.0,0.0,16.67,0.0,0.0,0.0,80.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.37,0.0,0.0,0.0,0.0,15.07,0.0,0.0,0.0,83.56,0.0,0.0,0.0,0.0,0.0,61.39,0.0,0.0,0.0,38.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,32.43,0.0,0.0,0.0,67.57,0.0,0.0,1.43,0.0,0.0,28.57,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,99.01,0.0,0.0,1.43,0.0,0.0,27.14,0.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
2,2.27,0.0,2.27,0.0,0.0,34.09,0.0,0.0,0.0,61.36,2.02,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,95.96,1.16,0.0,1.16,0.0,0.0,26.74,0.0,0.0,0.0,70.93,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.98,3.03,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,95.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.12,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,91.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,9.09,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,84.85,2.02,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,96.97,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,5.68,0.0,2.27,0.0,0.0,27.27,0.0,0.0,0.0,64.77,4.21,0.0,2.11,0.0,0.0,30.53,0.0,0.0,0.0,63.16,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,32.14,0.0,0.0,0.0,67.86,0.0,0.0,0.0,0.0,0.0,66.99,0.0,0.0,0.0,33.01,1.98,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,97.03,0.0,0.0,2.3,0.0,0.0,44.83,0.0,0.0,0.0,52.87,1.16,0.0,2.33,0.0,0.0,44.19,0.0,0.0,0.0,52.33,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.18,0.0,1.18,0.0,0.0,43.53,0.0,0.0,0.0,54.12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
3,2.41,0.0,2.41,0.0,0.0,27.71,0.0,0.0,0.0,67.47,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.99,1.15,0.0,1.15,0.0,0.0,24.14,0.0,0.0,0.0,73.56,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,98.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.98,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,97.03,0.98,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,98.04,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.98,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,97.03,4.04,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,92.93,0.0,0.0,1.27,0.0,0.0,16.46,0.0,0.0,0.0,82.28,1.15,0.0,1.15,0.0,0.0,22.99,0.0,0.0,0.0,74.71,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.3,0.0,1.3,0.0,0.0,20.78,0.0,0.0,0.0,76.62,0.0,0.0,0.0,0.0,0.0,63.64,0.0,0.0,0.0,36.36,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.99,0.0,0.0,0.0,0.0,0.0,42.17,0.0,0.0,0.0,57.83,0.0,0.0,1.23,0.0,0.0,40.74,0.0,0.0,0.0,58.02,1.98,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,97.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,2.53,0.0,0.0,37.97,0.0,0.0,0.0,59.49,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,97.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
4,2.3,0.0,1.15,0.0,0.0,29.89,0.0,0.0,0.0,66.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.19,0.0,1.19,0.0,0.0,21.43,0.0,0.0,0.0,76.19,1.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,97.98,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,3.03,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,95.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,5.05,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,92.93,1.23,0.0,0.0,0.0,0.0,18.52,0.0,0.0,0.0,80.25,2.3,0.0,0.0,0.0,0.0,21.84,0.0,0.0,0.0,75.86,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,15.71,0.0,0.0,0.0,84.29,0.0,0.0,0.0,0.0,0.0,62.63,0.0,0.0,0.0,37.37,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,1.15,0.0,2.3,0.0,0.0,42.53,0.0,0.0,0.0,54.02,0.0,0.0,1.22,0.0,0.0,41.46,0.0,0.0,0.0,57.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.27,0.0,1.27,0.0,0.0,36.71,0.0,0.0,0.0,60.76,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,98.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
5,0.0,0.0,0.0,0.0,0.0,18.42,0.0,0.0,0.0,81.58,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.01,1.27,0.0,0.0,0.0,0.0,12.66,0.0,0.0,0.0,86.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.04,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,94.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,2.7,0.0,6.76,0.0,0.0,0.0,90.54,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,90.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,0.0,1.02,0.0,0.0,58.16,0.0,0.0,0.0,40.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,29.17,0.0,0.0,0.0,70.83,1.41,0.0,0.0,0.0,0.0,28.17,0.0,0.0,0.0,70.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,21.54,0.0,0.0,0.0,78.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
6,0.0,0.0,0.0,0.0,0.0,16.22,0.0,0.0,0.0,83.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,89.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,98.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.99,1.19,0.0,1.19,0.0,0.0,16.67,0.0,0.0,0.0,80.95,0.0,0.0,1.23,0.0,0.0,13.58,0.0,0.0,0.0,85.19,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.97,0.0,0.0,0.0,0.0,0.0,8.82,0.0,0.0,0.0,91.18,0.0,0.0,0.0,0.0,0.0,60.78,0.0,0.0,0.0,39.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,29.17,0.0,0.0,0.0,70.83,0.0,0.0,1.35,0.0,0.0,29.73,0.0,0.0,0.0,68.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.73,0.0,0.0,0.0,77.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,85.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.28,0.0,0.0,0.0,0.0,12.82,0.0,0.0,0.0,85.9,2.56,0.0,0.0,0.0,0.0,10.26,0.0,0.0,0.0,87.18,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.01,0.0,0.0,0.0,0.0,0.0,7.46,0.0,0.0,0.0,92.54,0.0,0.0,0.0,0.0,0.0,58.59,0.0,0.0,0.0,41.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,29.17,0.0,0.0,0.0,70.83,0.0,0.0,0.0,0.0,0.0,25.37,0.0,0.0,0.0,74.63,0.98,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,98.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,20.31,0.0,0.0,0.0,79.69,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
8,0.0,0.0,0.0,0.0,0.0,17.33,0.0,0.0,0.0,82.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,13.92,0.0,0.0,0.0,86.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.98,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,97.03,1.32,0.0,1.32,0.0,0.0,9.21,0.0,0.0,0.0,88.16,1.2,0.0,0.0,0.0,0.0,15.66,0.0,0.0,0.0,83.13,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.99,0.0,0.0,0.0,0.0,0.0,8.82,0.0,0.0,0.0,91.18,0.0,0.0,0.0,0.0,0.0,59.18,0.0,0.0,0.0,40.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,28.17,0.0,0.0,0.0,71.83,0.0,0.0,0.0,0.0,0.0,24.24,0.0,0.0,0.0,75.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,24.24,0.0,0.0,0.0,75.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,99.01
9,0.0,0.0,0.0,0.0,0.0,11.43,0.0,0.0,0.0,88.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.82,0.0,0.0,0.0,87.18,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,98.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.35,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0,93.24,3.9,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,87.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.68,0.0,0.0,0.0,87.32,0.0,0.0,0.99,0.0,0.0,59.41,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,25.37,0.0,0.0,0.0,74.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.47,0.0,0.0,23.53,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
